N,sigma_std,phi_mean,phi_sd,chi,binder,ar1,drift,real_std,n
100,0.0,0.958773964982667,0.004038146568438876,0.14172685873767854,0.6649673073417874,0.9890867401631992,0.02511900749578666,0.0,16
100,0.025,0.9574285798523893,0.004233461337044173,0.13599529627124074,0.6649736953155552,0.9887547677137905,0.017219635569539427,0.02466705315591791,16
100,0.05,0.9604837330185152,0.0022836612711659037,0.11517596566902322,0.6652096048688041,0.9885547319654535,0.019405041308159343,0.04991958359740101,16
100,0.075,0.9577254638073449,0.003734447104731552,0.13964136836969177,0.6649545115518594,0.9891472948372105,0.019269836994067813,0.07645563619757634,16
100,0.1,0.9581267920711137,0.004669752781229883,0.14436659539861507,0.6648854011259431,0.9896981668529702,0.035103892863856734,0.10200346355294795,16
100,0.125,0.9569035253306354,0.00349763940847926,0.14353024204697418,0.6648469044436751,0.9901189055334775,0.017185248730220537,0.1292350902202091,16
100,0.15,0.9574663711542449,0.0035224849451539917,0.13418284340621645,0.6650164202364156,0.9887016656804313,0.01932969333114909,0.15410464851744052,16
100,0.175,0.9544902392535511,0.0051605598401323486,0.1580434452443158,0.6646969927507158,0.9894827925545319,0.02781533192413921,0.17908767549564947,16
100,0.2,0.9514708809482977,0.0053140320437743615,0.21426655900492753,0.6641249157918603,0.9914042306681072,0.0319147383638303,0.20633297476233303,16
100,0.225,0.9475755718461218,0.005830341248130337,0.2184106408220421,0.6639526697351574,0.9915798555083484,0.02371062691529824,0.2245353201534574,16
100,0.25,0.9392026376585395,0.011662469774517778,0.33318319132558116,0.6626632296909813,0.9929004409894034,0.03196974350770421,0.2459999192077352,16
100,0.275,0.9232242136198026,0.01395837399921544,0.5229232778093507,0.6603047296151987,0.9948238823697355,0.05850570212560191,0.2727106496980775,16
100,0.3,0.9048478701983637,0.030891064483278656,0.876930730822767,0.6565096374889956,0.9953098719358929,0.05620982630970617,0.29059044040697446,16
100,0.325,0.8619815137984556,0.03696894715325697,1.471125218523317,0.6486319558515361,0.9969159244265177,0.06082073743757055,0.3116072182139153,16
100,0.35,0.8323984456775587,0.030397627141100912,1.7343148861544977,0.6444673627838112,0.9970803132740954,0.07234707979616817,0.33691637572680466,16
100,0.375,0.7890818227808744,0.03503757260855157,1.9090838833023538,0.6382798212414882,0.9970660053876358,0.07360813930233323,0.3627481963330187,16
100,0.4,0.7230665713487296,0.03946106295842432,2.322161631221953,0.6266555962282807,0.9969899927018341,0.10817780769224417,0.39516078802878224,16
100,0.425,0.629207559755234,0.04354209530917997,2.818897167903678,0.6039410341404814,0.9965861474617009,0.11185110783261698,0.42354467427335185,16
100,0.45,0.5608778762904824,0.051680459692939065,2.666346628787686,0.5904061819384318,0.9955332859098097,0.16593906092063815,0.4493326560374403,16
200,0.0,0.9736669399244005,0.001413010834441308,0.03442232451353888,0.6664339807546402,0.9762365621351713,0.00743965953670056,2.22601806817251e-16,16
200,0.025,0.9735659295956262,0.001830791215241582,0.03931634482241542,0.6664046369681282,0.978236704146524,0.008133118001775075,0.024781033866770243,16
200,0.05,0.9729845992759191,0.0018520378193199304,0.03826930831101194,0.6664086269565123,0.9777552942596576,0.00609887134472209,0.049851224850708184,16
200,0.075,0.9725388173302596,0.0014588937755100591,0.04029688060331882,0.666394097206666,0.9785380026994875,0.010511907321862912,0.07629509828081295,16
200,0.1,0.9720814128675753,0.0019455330916968248,0.039120965521699524,0.6664015662835561,0.9760360231047118,0.009833854301393163,0.10124484479134563,16
200,0.125,0.9724523579247821,0.0019525134602227756,0.04030413943718614,0.6663961157094995,0.9783814062624967,0.007421728487237433,0.1263998079267938,16
200,0.15,0.9721282103870781,0.0022627354028611486,0.04070343978612723,0.6663926177111901,0.9781567253550646,0.007636716447965597,0.15048615403694737,16
200,0.175,0.9708622898474236,0.0014544228910693972,0.049467999934460494,0.6663344877501988,0.9810207772784418,0.008144094801604607,0.17406987699417698,16
200,0.2,0.967167899650127,0.0024880622400702745,0.06727059866529217,0.6662121458237755,0.9836101837221485,0.017121641920708197,0.2024016552113786,16
200,0.225,0.9634722063479368,0.004599690140424771,0.10624802517653631,0.6659764506473933,0.9860341294659722,0.01600575104451818,0.22404049696539063,16
200,0.25,0.9568908654012699,0.009004036099582603,0.19896901758427177,0.6653935179808759,0.9905386853033092,0.013775797666351175,0.25018059854460145,16
200,0.275,0.9431026900297019,0.009784651248810922,0.39346386557446156,0.6641706752663692,0.994229275164203,0.019309078607774643,0.2747158709745668,16
200,0.3,0.9289798838879728,0.01726823394604438,0.64927780543238,0.6626632478079453,0.9957831941209383,0.03237120378802316,0.29733755670089396,16
200,0.325,0.892178573701587,0.019803451737255878,1.3325530477524383,0.6582974818863512,0.9972524308852996,0.061887674504528145,0.31954815855546576,16
200,0.35,0.8494807302884938,0.022410841154678354,2.0784743497828106,0.652841723666663,0.9979212095349345,0.050439473100153065,0.34452569574777064,16
200,0.375,0.7982448706897389,0.03122274206741955,2.998152954069755,0.6453867597164794,0.9982999214335434,0.08864358321361498,0.3718747890920125,16
200,0.4,0.7355210822376667,0.035871651510179646,3.341518103281804,0.6381459548659449,0.9981086238584438,0.10832684220221245,0.40074194068262686,16
200,0.425,0.6754152617801966,0.03681137961214203,3.682238533905424,0.6308654886321681,0.9980886196228986,0.07622307492524694,0.42399501649446675,16
200,0.45,0.5735187631987699,0.045169625486051225,4.163389579437404,0.6112518282446548,0.9975348463280651,0.10361355767274838,0.45466563919639386,16
400,0.0,0.9789541729702158,0.0005737790927145604,0.014590145315418468,0.6666166739583321,0.9569860127717567,0.005503931577593768,5.5580670546202425e-16,16
400,0.025,0.9794091483405993,0.000901553182688648,0.012951866745813945,0.6666222554667747,0.953586350011141,0.0023781182899834663,0.024822948389614408,16
400,0.05,0.9791760587873636,0.000754472326833685,0.01234390552702358,0.6666242822663757,0.952826341116757,0.004967865343903588,0.04992374559548033,16
400,0.075,0.9785686992329437,0.0008018811133160154,0.014139812249824857,0.6666180929594756,0.9553598673646195,0.0028300631117409436,0.07558879524350218,16
400,0.1,0.9789834483963837,0.0008630349167560496,0.01197212281054405,0.6666255083574528,0.9501558466479171,0.0029154712522457826,0.10030387194917333,16
400,0.125,0.9782505336561318,0.000489304723039281,0.012894850110400924,0.6666222346604456,0.9530082168041492,0.002139064921477307,0.12546182729276745,16
400,0.15,0.9776447089725757,0.000826302943321637,0.01594034398531008,0.6666118742874116,0.9587919357974234,0.0030448690577999926,0.1507204575452394,16
400,0.175,0.9769201420923569,0.0010467802515325385,0.016255038785617515,0.6666106530207025,0.9569864916525981,0.0038616942656881648,0.17489844023275058,16
400,0.2,0.9745509025626691,0.0013146371537599106,0.027122219952024906,0.6665733348164983,0.9699612922353156,0.005158061082656484,0.2037018176193887,16
400,0.225,0.9726282890531159,0.0018243742628023458,0.036055850642702225,0.666542727593433,0.9744377344731188,0.004693650287683315,0.22510100439835828,16
400,0.25,0.9661396819941789,0.004517556879913311,0.10444640774678327,0.666314153712272,0.9865480955972403,0.011646592222421703,0.25010745436736526,16
400,0.275,0.9533530600512692,0.0040276791244350215,0.2699545210165244,0.6657575490670378,0.9942213548272405,0.015155647394031968,0.2743989899016436,16
400,0.3,0.9363826484476072,0.011708353707068629,0.5714745173781566,0.664768588451117,0.995345422226378,0.03090591247404062,0.30037333373804753,16
400,0.325,0.9092106610464953,0.011778009150424313,1.1620419603728394,0.6628339640795403,0.997347249130625,0.04259633799124385,0.321798373760179,16
400,0.35,0.8730528118841346,0.020570355586813718,2.085211618467886,0.6597991229034463,0.9979758783353659,0.09603225956037398,0.34589193168426174,16
400,0.375,0.8241254266281208,0.023728490808566732,3.4216396483188305,0.6543668365566432,0.9985738612147034,0.05438164387454947,0.3703604910119404,16
400,0.4,0.7469072646006722,0.03722942125643372,4.877886515666363,0.6458205560230381,0.9985828762591611,0.08275582432462558,0.3993936146937579,16
400,0.425,0.6636986497304187,0.037029153338443185,6.8776731667959945,0.6323566212427374,0.9987784066721448,0.11371324292018892,0.42482814725355944,16
400,0.45,0.574857865950447,0.04495771428673029,7.809661404039692,0.6152052565778283,0.9985621080951766,0.10822152509636529,0.45213989220524226,16
800,0.0,0.9797184256086471,0.0006311930067075661,0.01531804876755416,0.666640335559254,0.9616684563323009,0.0037072920191082437,6.665505391291315e-16,16
800,0.025,0.9794585836411897,0.0005787681710408683,0.016573568944089345,0.6666381457289476,0.9661237304574297,0.002062630594903747,0.02495511279949133,16
800,0.05,0.9790851145315915,0.000638421107330642,0.01882287917620573,0.6666342792249816,0.9678594989392801,0.0017153512265438708,0.04991902357667638,16
800,0.075,0.9792140678534711,0.0006261014051056806,0.016079547897795976,0.6666389345405292,0.9636601595662672,0.0017672701912666566,0.07532429734896666,16
800,0.1,0.9790459453645979,0.0006741579317917636,0.017236906687045916,0.6666369500257825,0.9656788312872333,0.003599734661032472,0.10024137984636244,16
800,0.125,0.9785399920988287,0.0005549434053939529,0.01812732455261923,0.6666353911448473,0.9669794205253138,0.0023972689297764305,0.12502377792511646,16
800,0.15,0.9781155816454385,0.000577697379869996,0.0167396985242263,0.6666377318345865,0.9631213864448316,0.002299149115940091,0.1507380561890546,16
800,0.175,0.9774839985805086,0.0011044792483387081,0.020728122642577063,0.6666308242902746,0.9675219028848651,0.003126049956594157,0.17467904543689797,16
800,0.2,0.9756211564827559,0.0007532133982639708,0.029194512186059285,0.6666161778638102,0.9747734460706604,0.002578120341602541,0.20067028453019495,16
800,0.225,0.9723435155274622,0.0020034957270213824,0.05618185460223302,0.666569775341769,0.9818223271832772,0.0037806149274749457,0.22320996280306446,16
800,0.25,0.9641692109263048,0.004505427255639024,0.16981166283347449,0.6663731298457278,0.9916147631798008,0.00972900454147474,0.24957131692843398,16
800,0.275,0.9540237825692,0.0053470975576384765,0.370137064908338,0.6660329283238695,0.9958247034941426,0.01381613923070557,0.27396474518616903,16
800,0.3,0.9285269033083385,0.010838299001559129,1.0057236197424047,0.6649050380514212,0.9973383650262122,0.02568361858296253,0.30095763188866076,16
800,0.325,0.901894376027734,0.010391890975061354,1.8025357066931313,0.6634445702644065,0.9981723727059794,0.04466667992260687,0.32354321649557,16
800,0.35,0.8600604286036482,0.01854099293468496,4.015185770096874,0.6596825836667168,0.9988963183435297,0.04390564724241175,0.34646241834781966,16
800,0.375,0.805469426841827,0.02412719783681051,6.508196561754964,0.6541422658744585,0.9991496056340415,0.10952477919919223,0.37141582491620556,16
800,0.4,0.7284258764307409,0.032111756850049966,9.502763670135383,0.6455134306671848,0.9992443377898027,0.12870796414019658,0.40135007742645357,16
800,0.425,0.6390148535392798,0.03454715128231377,14.593975140403614,0.6277067376037092,0.9993815489177929,0.15388057407243605,0.42536017601940557,16
800,0.45,0.5457149632750969,0.04481165406370992,15.86090327350278,0.6088412601625508,0.9991903797501895,0.09708557889523717,0.45073505829193955,16
1600,0.0,0.9831819700742273,0.00016773277984314633,0.007142707917040525,0.666660526605561,0.9475726142992322,0.0007547365347130297,6.6634207922125645e-16,16
1600,0.025,0.9832551879503175,0.0001750896695325481,0.00699036473523762,0.6666606586770158,0.9469476507871092,0.0009705996383314597,0.0250263486729401,16
1600,0.05,0.9829765739934127,0.00018718673903821633,0.008005016649370589,0.6666597840899802,0.9517802621625936,0.0014248566060561796,0.0498756641199778,16
1600,0.075,0.9830175750094782,0.0002565034029802861,0.008547079845655503,0.6666593297423895,0.9526984327612685,0.0009798797312174923,0.07485844792987524,16
1600,0.1,0.9827811901635571,0.0002470994834576937,0.00793988527956202,0.6666598367502194,0.9506921067296137,0.0007016909900392498,0.0999063684878583,16
1600,0.125,0.9825479049562448,0.00028186229716087037,0.007782357659813499,0.6666599684187957,0.9481477115494988,0.0005897774983991688,0.12477503804201878,16
1600,0.15,0.9821243484025881,0.00034201700001970696,0.009517188077268202,0.6666584741576745,0.9555216432450631,0.0012973047506072977,0.15048629065298663,16
1600,0.175,0.9814185231657054,0.0002650333179053231,0.011249953008096725,0.6666569796955804,0.9592167067514858,0.0014512691207125838,0.17477838862343772,16
1600,0.2,0.9800367676731413,0.0007163372237602791,0.01677038704759326,0.6666522022801118,0.9666998756706926,0.0011966781881306288,0.2001811373434377,16
1600,0.225,0.9777848089286989,0.0014112742699244117,0.030635608605145137,0.6666402003809528,0.9763821496636045,0.0017317331376376366,0.22404668374293865,16
1600,0.25,0.9719230555067746,0.002083780911463985,0.08736227319818823,0.6665907440795402,0.9896186096307105,0.003657692072077001,0.24955157316700335,16
1600,0.275,0.9607680228485752,0.0032085212305572298,0.29850026986295575,0.6664059308981589,0.9955652112019342,0.00907205363346153,0.27430858235621636,16
1600,0.3,0.9406356147559034,0.006139093430932796,1.0027937494996308,0.665815774529089,0.9976872725637795,0.028165064373096182,0.30100804075563886,16
1600,0.325,0.9147305412279595,0.008664666833562143,1.7902983225484448,0.6650309610957403,0.9984154010812685,0.03053560908850217,0.3257953438025307,16
1600,0.35,0.8754711657293803,0.011115267499630866,4.4068748118332834,0.6627120222810574,0.9990122740877829,0.07031471031826253,0.3489110358394808,16
1600,0.375,0.820000108540721,0.01945342145234989,8.492518722051834,0.6584317586357312,0.9993414397276201,0.07610969082485464,0.37409039462258326,16
1600,0.4,0.725374167582381,0.02270501117906657,18.61045511106898,0.6458512478193295,0.9996161181406885,0.05173571705658664,0.40199147151640613,16
1600,0.425,0.6419231622806314,0.034940919567031055,26.911522021614953,0.6311699718984134,0.9996591585863749,0.15198293496741055,0.42551856203871774,16
1600,0.45,0.5369697315573866,0.042920250226628556,33.811422831468185,0.6042914013725692,0.9996342728434319,0.18110152287861092,0.45144603002972955,16
